,Year,Braut,tegund_nams,kk,kv,samtals_utt
166,2008,Hjúkrunarfræðideild,Viðbótarnám,1,33,34
167,2008,Hjúkrunarfræðideild,Meistarapróf,0,0,0
168,2008,Hjúkrunarfræðideild,Doktorspróf,0,7,7
169,2008,Lyfjafræðideild,,15,36,51
170,2008,Lyfjafræðideild,Grunnnám,8,22,30
171,2008,Lyfjafræðideild,Viðbótarnám,0,0,0
172,2008,Lyfjafræðideild,Meistarapróf,7,14,21
173,2008,Lyfjafræðideild,Doktorspróf,0,0,0
174,2008,Læknadeild,,35,56,91
175,2008,Læknadeild,Grunnnám,5,15,20
176,2008,Læknadeild,Viðbótarnám,0,0,0
177,2008,Læknadeild,Meistarapróf,28,36,64
178,2008,Læknadeild,Doktorspróf,2,5,7
179,2008,Lýðheilsuvísindi,,1,0,1
180,2008,Lýðheilsuvísindi,Grunnnám,0,0,0
181,2008,Lýðheilsuvísindi,Viðbótarnám,0,0,0
182,2008,Lýðheilsuvísindi,Meistarapróf,1,0,1
183,2008,Lýðheilsuvísindi,Doktorspróf,0,0,0
184,2008,Matvæla- og næringarfræðideild,,0,0,0
185,2008,Matvæla- og næringarfræðideild,Grunnnám,0,0,0
186,2008,Matvæla- og næringarfræðideild,Viðbótarnám,0,0,0
187,2008,Matvæla- og næringarfræðideild,Meistarapróf,0,0,0
188,2008,Matvæla- og næringarfræðideild,Doktorspróf,0,0,0
189,2008,Sálfræðideild,,19,83,102
190,2008,Sálfræðideild,Grunnnám,16,69,85
191,2008,Sálfræðideild,Viðbótarnám,0,0,0
192,2008,Sálfræðideild,Meistarapróf,3,14,17
193,2008,Sálfræðideild,Doktorspróf,0,0,0
194,2008,Tannlæknadeild,,2,4,6
195,2008,Tannlæknadeild,Grunnnám,2,4,6
196,2008,Tannlæknadeild,Viðbótarnám,0,0,0
197,2008,Tannlæknadeild,Meistarapróf,0,0,0
198,2008,Tannlæknadeild,Doktorspróf,0,0,0
199,2008,"Deild erlendra tungumála, bókmennta og málvísinda",,18,55,73
200,2008,"Deild erlendra tungumála, bókmennta og málvísinda",Grunnnám,17,47,64
201,2008,"Deild erlendra tungumála, bókmennta og málvísinda",Viðbótarnám,0,0,0
202,2008,"Deild erlendra tungumála, bókmennta og málvísinda",Meistarapróf,1,8,9
203,2008,"Deild erlendra tungumála, bókmennta og málvísinda",Doktorspróf,0,0,0
204,2008,Guðfræði- og trúarbragðafræðideild,,9,20,29
205,2008,Guðfræði- og trúarbragðafræðideild,Grunnnám,3,10,13
206,2008,Guðfræði- og trúarbragðafræðideild,Viðbótarnám,5,10,15
207,2008,Guðfræði- og trúarbragðafræðideild,Meistarapróf,1,0,1
208,2008,Guðfræði- og trúarbragðafræðideild,Doktorspróf,0,0,0
209,2008,Íslensku- og menningardeild,,28,77,105
210,2008,Íslensku- og menningardeild,Grunnnám,21,64,85
211,2008,Íslensku- og menningardeild,Viðbótarnám,1,2,3
212,2008,Íslensku- og menningardeild,Meistarapróf,6,11,17
213,2008,Íslensku- og menningardeild,Doktorspróf,0,0,0
214,2008,Sagnfræði- og heimspekideild,,29,42,60
215,2008,Sagnfræði- og heimspekideild,Grunnnám,24,22,35
216,2008,Sagnfræði- og heimspekideild,Viðbótarnám,0,0,0
217,2008,Sagnfræði- og heimspekideild,Meistarapróf,5,20,25
