,Year,Braut,tegund_nams,kk,kv,samtals_inn
216,2008,Uppeldis- og menntunarfræðideild,Grunnnám,29,218,247
217,2008,Uppeldis- og menntunarfræðideild,Viðbótarnám,4,15,19
218,2008,Uppeldis- og menntunarfræðideild,Meistarapróf,2,10,12
219,2008,Uppeldis- og menntunarfræðideild,Doktorspróf,0,0,0
220,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",,402,185,587
221,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Grunnnám,304,122,426
222,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Viðbótarnám,0,0,0
223,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,94,61,155
224,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,4,2,6
225,2008,Jarðvísindadeild,,65,67,132
226,2008,Jarðvísindadeild,Grunnnám,43,53,96
227,2008,Jarðvísindadeild,Viðbótarnám,2,0,2
228,2008,Jarðvísindadeild,Meistarapróf,13,6,19
229,2008,Jarðvísindadeild,Doktorspróf,7,8,15
230,2008,Líf- og umhverfisvísindadeild,,131,251,382
231,2008,Líf- og umhverfisvísindadeild,Grunnnám,92,205,297
232,2008,Líf- og umhverfisvísindadeild,Viðbótarnám,2,2,4
233,2008,Líf- og umhverfisvísindadeild,Meistarapróf,20,22,42
234,2008,Líf- og umhverfisvísindadeild,Doktorspróf,17,22,39
235,2008,Rafmagns- og tölvuverkfræðideild,,89,15,104
236,2008,Rafmagns- og tölvuverkfræðideild,Grunnnám,82,13,95
237,2008,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,0,0,0
238,2008,Rafmagns- og tölvuverkfræðideild,Meistarapróf,6,0,6
239,2008,Rafmagns- og tölvuverkfræðideild,Doktorspróf,1,2,3
240,2008,Raunvísindadeild,,173,95,268
241,2008,Raunvísindadeild,Grunnnám,125,77,202
242,2008,Raunvísindadeild,Viðbótarnám,0,0,0
243,2008,Raunvísindadeild,Meistarapróf,23,10,33
244,2008,Raunvísindadeild,Doktorspróf,25,8,33
245,2008,Umhverfis- og byggingaverkfræðideild,,131,69,202
246,2008,Umhverfis- og byggingaverkfræðideild,Grunnnám,107,56,163
247,2008,Umhverfis- og byggingaverkfræðideild,Viðbótarnám,0,0,35
248,2008,Umhverfis- og byggingaverkfræðideild,Meistarapróf,23,12,2
249,2008,Umhverfis- og byggingaverkfræðideild,Doktorspróf,1,1,2
250,2009,Félags- og mannvísindadeild,,215,967,1182
251,2009,Félags- og mannvísindadeild,Grunnnám,98,329,427
252,2009,Félags- og mannvísindadeild,Viðbótarnám,42,207,249
